"Date","Price","Open","High","Low","Change %"
"09/21/1989","8.208","8.208","8.208","8.208","0.86%"
"09/20/1989","8.138","8.138","8.138","8.138","0.69%"
"09/19/1989","8.082","8.082","8.082","8.082","-0.17%"
"09/18/1989","8.096","8.096","8.096","8.096","0.12%"
"09/15/1989","8.086","8.086","8.086","8.086","-0.53%"
"09/14/1989","8.129","8.129","8.129","8.129","-0.45%"
"09/13/1989","8.166","8.166","8.166","8.166","0.58%"
"09/12/1989","8.119","8.119","8.119","8.119","-0.06%"
"09/11/1989","8.124","8.124","8.124","8.124","-0.28%"
"09/08/1989","8.147","8.147","8.147","8.147","-0.34%"
"09/07/1989","8.175","8.175","8.175","8.175","0.00%"
"09/06/1989","8.175","8.175","8.175","8.175","-0.18%"
"09/05/1989","8.190","8.190","8.190","8.190","0.23%"
"09/01/1989","8.171","8.171","8.171","8.171","-1.03%"
"08/31/1989","8.256","8.256","8.256","8.256","0.18%"
"08/30/1989","8.241","8.241","8.241","8.241","-0.29%"
"08/29/1989","8.265","8.265","8.265","8.265","-0.06%"
"08/28/1989","8.270","8.270","8.270","8.270","0.63%"
"08/25/1989","8.218","8.218","8.218","8.218","0.23%"
"08/24/1989","8.199","8.199","8.199","8.199","-0.52%"
"08/23/1989","8.242","8.242","8.242","8.242","-0.61%"
"08/22/1989","8.293","8.293","8.293","8.293","0.97%"
"08/21/1989","8.213","8.213","8.213","8.213","0.74%"
"08/18/1989","8.153","8.153","8.153","8.153","-0.17%"
"08/17/1989","8.167","8.167","8.167","8.167","0.63%"
"08/16/1989","8.116","8.116","8.116","8.116","-1.07%"
"08/15/1989","8.204","8.204","8.204","8.204","-0.40%"
"08/14/1989","8.237","8.237","8.237","8.237","1.73%"
"08/11/1989","8.097","8.097","8.097","8.097","1.04%"
"08/10/1989","8.014","8.014","8.014","8.014","-0.57%"
"08/09/1989","8.060","8.060","8.060","8.060","0.69%"
"08/08/1989","8.005","8.005","8.005","8.005","-0.11%"
"08/07/1989","8.014","8.014","8.014","8.014","2.88%"
"08/03/1989","7.790","7.790","7.790","7.790","0.39%"
"08/02/1989","7.760","7.760","7.760","7.760","0.34%"
"08/01/1989","7.734","7.734","7.734","7.734","-1.00%"
"07/31/1989","7.812","7.812","7.812","7.812","-0.57%"
"07/28/1989","7.857","7.857","7.857","7.857","-0.62%"
"07/27/1989","7.906","7.906","7.906","7.906","-1.27%"
"07/26/1989","8.008","8.008","8.008","8.008","0.00%"
"07/25/1989","8.008","8.008","8.008","8.008","-0.50%"
"07/24/1989","8.048","8.048","8.048","8.048","-0.28%"
"07/21/1989","8.071","8.071","8.071","8.071","0.82%"
"07/20/1989","8.005","8.005","8.005","8.005","-0.93%"
"07/19/1989","8.080","8.080","8.080","8.080","-0.50%"
"07/18/1989","8.121","8.121","8.121","8.121","0.88%"
"07/17/1989","8.050","8.050","8.050","8.050","0.34%"
