"Date","Price","Open","High","Low","Change %"
"01/06/2006","4.366","4.366","4.366","4.366","0.95%"
"01/05/2006","4.325","4.325","4.325","4.325","0.49%"
"01/04/2006","4.304","4.304","4.304","4.304","-0.67%"
"01/03/2006","4.333","4.333","4.333","4.333","-1.61%"
"12/30/2005","4.404","4.404","4.404","4.404","0.62%"
"12/29/2005","4.377","4.377","4.377","4.377","0.00%"
"12/28/2005","4.377","4.377","4.377","4.377","0.51%"
"12/27/2005","4.355","4.355","4.355","4.355","-0.21%"
"12/23/2005","4.364","4.364","4.364","4.364","-0.57%"
"12/22/2005","4.389","4.389","4.389","4.389","-1.24%"
"12/21/2005","4.444","4.444","4.444","4.444","0.77%"
"12/20/2005","4.410","4.410","4.410","4.410","0.68%"
"12/19/2005","4.380","4.380","4.380","4.380","0.48%"
"12/16/2005","4.359","4.359","4.359","4.359","-0.09%"
"12/15/2005","4.363","4.363","4.363","4.363","-0.27%"
"12/14/2005","4.375","4.375","4.375","4.375","-0.86%"
"12/13/2005","4.413","4.413","4.413","4.413","-0.56%"
"12/12/2005","4.438","4.438","4.438","4.438","0.68%"
"12/09/2005","4.408","4.408","4.408","4.408","0.87%"
"12/08/2005","4.370","4.370","4.370","4.370","-0.95%"
"12/07/2005","4.412","4.412","4.412","4.412","0.18%"
"12/06/2005","4.404","4.404","4.404","4.404","-1.48%"
"12/05/2005","4.470","4.470","4.470","4.470","0.95%"
"12/02/2005","4.428","4.428","4.428","4.428","-0.27%"
"12/01/2005","4.440","4.440","4.440","4.440","0.57%"
"11/30/2005","4.415","4.415","4.415","4.415","0.39%"
"11/29/2005","4.398","4.398","4.398","4.398","1.71%"
"11/28/2005","4.324","4.324","4.324","4.324","0.00%"
"11/25/2005","4.324","4.324","4.324","4.324","-0.71%"
"11/23/2005","4.355","4.355","4.355","4.355","0.88%"
"11/22/2005","4.317","4.317","4.317","4.317","-1.44%"
"11/21/2005","4.380","4.380","4.380","4.380","-0.39%"
"11/18/2005","4.397","4.397","4.397","4.397","0.39%"
"11/17/2005","4.380","4.380","4.380","4.380","-0.57%"
"11/16/2005","4.405","4.405","4.405","4.405","-1.41%"
"11/15/2005","4.468","4.468","4.468","4.468","-0.67%"
"11/14/2005","4.498","4.498","4.498","4.498","1.44%"
"11/11/2005","4.434","4.434","4.434","4.434","-0.18%"
"11/10/2005","4.442","4.442","4.442","4.442","-1.11%"
"11/09/2005","4.492","4.492","4.492","4.492","1.72%"
"11/08/2005","4.416","4.416","4.416","4.416","-0.85%"
"11/07/2005","4.454","4.454","4.454","4.454","-0.27%"
"11/04/2005","4.466","4.466","4.466","4.466","-0.09%"
"11/03/2005","4.470","4.470","4.470","4.470","0.86%"
"11/02/2005","4.432","4.432","4.432","4.432","0.39%"
"11/01/2005","4.415","4.415","4.415","4.415","0.66%"
"10/31/2005","4.386","4.386","4.386","4.386","-0.09%"
"10/28/2005","4.390","4.390","4.390","4.390","0.85%"
"10/27/2005","4.353","4.353","4.353","4.353","-0.59%"
"10/26/2005","4.379","4.379","4.379","4.379","0.71%"
"10/25/2005","4.348","4.348","4.348","4.348","2.11%"
"10/24/2005","4.258","4.258","4.258","4.258","1.12%"
"10/21/2005","4.211","4.211","4.211","4.211","-0.59%"
"10/20/2005","4.236","4.236","4.236","4.236","-0.28%"
"10/19/2005","4.248","4.248","4.248","4.248","-0.09%"
"10/18/2005","4.252","4.252","4.252","4.252","-0.70%"
"10/17/2005","4.282","4.282","4.282","4.282","0.52%"
"10/14/2005","4.260","4.260","4.260","4.260","0.61%"
"10/13/2005","4.234","4.234","4.234","4.234","-0.09%"
"10/12/2005","4.238","4.238","4.238","4.238","0.40%"
"10/11/2005","4.221","4.221","4.221","4.221","1.01%"
"10/10/2005","4.179","4.179","4.179","4.179","0.00%"
"10/07/2005","4.179","4.179","4.179","4.179","-0.67%"
"10/06/2005","4.207","4.207","4.207","4.207","0.41%"
"10/05/2005","4.190","4.190","4.190","4.190","-0.69%"
"10/04/2005","4.219","4.219","4.219","4.219","0.09%"
"10/03/2005","4.215","4.215","4.215","4.215","1.01%"
"09/30/2005","4.173","4.173","4.173","4.173","0.89%"
"09/29/2005","4.136","4.136","4.136","4.136","1.27%"
"09/28/2005","4.084","4.084","4.084","4.084","0.10%"
"09/27/2005","4.080","4.080","4.080","4.080","0.42%"
"09/26/2005","4.063","4.063","4.063","4.063","0.97%"
"09/23/2005","4.024","4.024","4.024","4.024","1.82%"
"09/22/2005","3.952","3.952","3.952","3.952","0.84%"
"09/21/2005","3.919","3.919","3.919","3.919","-1.68%"
"09/20/2005","3.986","3.986","3.986","3.986","1.61%"
"09/19/2005","3.923","3.923","3.923","3.923","-1.38%"
"09/16/2005","3.978","3.978","3.978","3.978","2.03%"
"09/15/2005","3.899","3.899","3.899","3.899","0.33%"
"09/14/2005","3.886","3.886","3.886","3.886","0.52%"
"09/13/2005","3.866","3.866","3.866","3.866","-1.38%"
"09/12/2005","3.920","3.920","3.920","3.920","1.06%"
"09/09/2005","3.879","3.879","3.879","3.879","0.10%"
"09/08/2005","3.875","3.875","3.875","3.875","0.52%"
