"Date","Price","Open","High","Low","Change %"
"01/08/1990","7.911","7.911","7.911","7.911","0.13%"
"12/29/1989","7.901","7.901","7.901","7.901","-0.23%"
"12/27/1989","7.919","7.919","7.919","7.919","0.66%"
"12/26/1989","7.867","7.867","7.867","7.867","1.56%"
"12/22/1989","7.746","7.746","7.746","7.746","0.90%"
"12/21/1989","7.677","7.677","7.677","7.677","0.34%"
"12/20/1989","7.651","7.651","7.651","7.651","-0.34%"
"12/19/1989","7.677","7.677","7.677","7.677","-0.89%"
"12/18/1989","7.746","7.746","7.746","7.746","-0.23%"
"12/15/1989","7.764","7.764","7.764","7.764","0.22%"
"12/14/1989","7.747","7.747","7.747","7.747","-0.68%"
"12/13/1989","7.800","7.800","7.800","7.800","0.00%"
"12/12/1989","7.800","7.800","7.800","7.800","0.00%"
"12/11/1989","7.800","7.800","7.800","7.800","0.22%"
"12/08/1989","7.783","7.783","7.783","7.783","-0.89%"
"12/07/1989","7.853","7.853","7.853","7.853","0.67%"
"12/06/1989","7.801","7.801","7.801","7.801","1.13%"
"12/05/1989","7.714","7.714","7.714","7.714","0.00%"
"12/04/1989","7.714","7.714","7.714","7.714","0.22%"
"12/01/1989","7.697","7.697","7.697","7.697","-1.07%"
"11/27/1989","7.780","7.780","7.780","7.780","1.74%"
"11/24/1989","7.647","7.647","7.647","7.647","-0.12%"
"11/22/1989","7.656","7.656","7.656","7.656","-1.48%"
"11/21/1989","7.771","7.771","7.771","7.771","0.12%"
"11/20/1989","7.762","7.762","7.762","7.762","-0.12%"
"11/17/1989","7.771","7.771","7.771","7.771","0.80%"
"11/16/1989","7.709","7.709","7.709","7.709","0.22%"
"11/15/1989","7.692","7.692","7.692","7.692","-0.68%"
"11/14/1989","7.745","7.745","7.745","7.745","-0.78%"
"11/13/1989","7.806","7.806","7.806","7.806","-0.22%"
"11/10/1989","7.823","7.823","7.823","7.823","0.33%"
"11/09/1989","7.797","7.797","7.797","7.797","0.45%"
"11/08/1989","7.762","7.762","7.762","7.762","-1.32%"
"11/07/1989","7.866","7.866","7.866","7.866","-2.18%"
"11/06/1989","8.041","8.041","8.041","8.041","0.78%"
"11/03/1989","7.979","7.979","7.979","7.979","2.11%"
"11/02/1989","7.814","7.814","7.814","7.814","-0.45%"
"11/01/1989","7.849","7.849","7.849","7.849","-0.22%"
"10/31/1989","7.866","7.866","7.866","7.866","0.23%"
"10/30/1989","7.848","7.848","7.848","7.848","0.00%"
"10/27/1989","7.848","7.848","7.848","7.848","0.87%"
"10/26/1989","7.780","7.780","7.780","7.780","0.45%"
"10/25/1989","7.745","7.745","7.745","7.745","1.04%"
"10/24/1989","7.665","7.665","7.665","7.665","-2.65%"
"10/23/1989","7.874","7.874","7.874","7.874","-0.46%"
"10/20/1989","7.910","7.910","7.910","7.910","0.42%"
"10/19/1989","7.877","7.877","7.877","7.877","0.65%"
"10/18/1989","7.826","7.826","7.826","7.826","-0.23%"
"10/17/1989","7.844","7.844","7.844","7.844","-0.01%"
"10/16/1989","7.845","7.845","7.845","7.845","2.48%"
"10/13/1989","7.655","7.655","7.655","7.655","-4.17%"
"10/12/1989","7.988","7.988","7.988","7.988","-1.09%"
"10/11/1989","8.076","8.076","8.076","8.076","-0.01%"
"10/06/1989","8.077","8.077","8.077","8.077","-2.94%"
"10/05/1989","8.322","8.322","8.322","8.322","-0.63%"
"10/04/1989","8.375","8.375","8.375","8.375","-0.42%"
"10/03/1989","8.410","8.410","8.410","8.410","-0.61%"
"10/02/1989","8.462","8.462","8.462","8.462","0.00%"
"09/29/1989","8.462","8.462","8.462","8.462","0.62%"
"09/28/1989","8.410","8.410","8.410","8.410","-0.37%"
"09/27/1989","8.441","8.441","8.441","8.441","0.00%"
"09/26/1989","8.441","8.441","8.441","8.441","0.00%"
"09/25/1989","8.441","8.441","8.441","8.441","1.50%"
"09/22/1989","8.316","8.316","8.316","8.316","0.00%"
"09/21/1989","8.316","8.316","8.316","8.316","0.64%"
"09/20/1989","8.263","8.263","8.263","8.263","1.52%"
"09/19/1989","8.139","8.139","8.139","8.139","0.21%"
"09/18/1989","8.122","8.122","8.122","8.122","0.87%"
"09/15/1989","8.052","8.052","8.052","8.052","-0.45%"
"09/14/1989","8.088","8.088","8.088","8.088","-1.29%"
"09/13/1989","8.194","8.194","8.194","8.194","0.21%"
"09/12/1989","8.177","8.177","8.177","8.177","-0.22%"
"09/11/1989","8.195","8.195","8.195","8.195","-0.85%"
"09/08/1989","8.265","8.265","8.265","8.265","-0.64%"
"09/07/1989","8.318","8.318","8.318","8.318","-0.62%"
"09/06/1989","8.370","8.370","8.370","8.370","-0.01%"
